# Program:featureCounts v2.0.3; Command:"/home/nilmbb/dmalcov/vigna/subread-2.0.3-source/bin/featureCounts" "-p" "--countReadPairs" "-t" "exon" "-g" "gene_id" "-a" "v6.gtf" "-o" "VR4R1counts.txt" "alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam
gene:Vradi07g30520	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54309378;54309641;54310129;54310305;54312343;54312769;54313435;54314941;54315449;54317534;54318794;54319918	54309433;54309705;54310223;54310528;54312478;54312902;54313540;54315035;54315637;54317686;54318907;54320684	+;+;+;+;+;+;+;+;+;+;+;+	2134	687
gene:Vradi07g30530	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54320954;54321700;54322430;54323013	54321020;54322225;54322699;54323777	-;-;-;-	1628	4185
gene:ENSRNA050006338	CM003510.1	54320959	54321030	-	72	0
gene:Vradi07g30540	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54325348;54325960;54326109;54326761;54327623;54327798;54328030;54329220;54329372;54329520;54329726;54330865;54331211;54331423;54332589	54325718;54326029;54326189;54326853;54327703;54327887;54328123;54329288;54329442;54329588;54329809;54330957;54331318;54331576;54333127	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2067	2204
gene:Vradi07g30550	CM003510.1	54339425	54340561	-	1137	1256
gene:Vradi07g30560	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54345678;54346908;54347534;54348444;54352040;54352190;54352369	54346412;54346970;54348289;54348578;54352099;54352276;54352869	+;+;+;+;+;+;+	2337	636
gene:Vradi07g30570	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54357532;54357740;54358688;54360696	54357546;54357831;54359819;54361387	+;+;+;+	1931	133
gene:Vradi07g30580	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54362899;54363431;54363766;54363937;54364339;54364536;54364733;54365151;54365407;54367032	54363281;54363516;54363849;54364002;54364438;54364616;54364857;54365269;54366933;54367170	-;-;-;-;-;-;-;-;-;-	2710	611
gene:Vradi07g30590	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54368416;54368838;54369528;54370311;54370604;54370947;54373809;54373939;54374128;54374330;54374597;54374918;54375494;54375762;54376023	54368752;54368944;54370087;54370474;54370857;54371134;54373838;54374031;54374211;54374413;54374721;54375113;54375592;54375919;54376113	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2570	646
gene:Vradi07g30600	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54381251;54381714;54381900;54382724;54382884	54381627;54381762;54382634;54382816;54383404	+;+;+;+;+	1775	398
gene:Vradi07g30610	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54392131;54392781;54393175;54393838;54393988;54394917;54395476	54392418;54393035;54393271;54393894;54394833;54395357;54395959	+;+;+;+;+;+;+	2468	709
gene:Vradi07g30620	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54411547;54412609;54413327;54413551;54414226	54412324;54413235;54413458;54413726;54414621	+;+;+;+;+	2109	403
gene:Vradi07g30630	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54416731;54417468;54417749;54417917;54419636;54419876;54420518	54417377;54417639;54417825;54418922;54419703;54420082;54421154	-;-;-;-;-;-;-	2814	403
gene:Vradi07g30640	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54421265;54421562;54423418;54423624;54424705;54424985	54421314;54423201;54423534;54423799;54424850;54425313	+;+;+;+;+;+	2458	1017
gene:Vradi07g30650	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54431742;54432267;54432663;54432883	54432167;54432565;54432803;54433179	+;+;+;+	1163	16079
gene:Vradi07g30660	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54434836;54435652;54436163;54436401;54436713;54436937;54437289;54437721	54435111;54435883;54436242;54436554;54436791;54437021;54437335;54437918	+;+;+;+;+;+;+;+	1151	222
gene:Vradi07g30670	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54438849;54440808;54441012;54441413;54441613;54442199;54443029;54443448;54443736;54444265;54445092;54447171	54440496;54440899;54441248;54441520;54441672;54442274;54443189;54443510;54443823;54444987;54445802;54447281	-;-;-;-;-;-;-;-;-;-;-;-	4078	82
gene:Vradi07g30680	CM003510.1;CM003510.1	54480651;54481482	54480660;54482794	-;-	1323	1152
gene:Vradi07g30690	CM003510.1;CM003510.1	54488519;54490756	54490188;54491052	-;-	1967	835
gene:Vradi07g30700	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54497421;54498040;54498211;54498704;54499134;54499378;54499603;54501345;54501649;54501821;54502021;54502566;54502774;54502938;54503203;54503516;54503673;54503861;54504037;54504336;54504543;54504746;54505208;54505412;54505577;54505883;54506044;54509914	54497948;54498111;54498438;54499036;54499280;54499516;54499751;54501528;54501729;54501930;54502077;54502613;54502854;54503019;54503294;54503602;54503715;54503922;54504249;54504443;54504617;54504859;54505284;54505487;54505717;54505927;54506124;54510036	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3576	7558
gene:Vradi07g30710	CM003510.1;CM003510.1	54517927;54518426	54518221;54520911	+;+	2781	159
gene:Vradi07g30720	CM003510.1;CM003510.1	54540898;54541036	54540915;54542004	-;-	987	125
gene:Vradi07g30730	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54548032;54548644;54548874;54551022	54548541;54548756;54549306;54551054	-;-;-;-	1089	803
gene:Vradi07g30740	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54556459;54557139;54557406;54557725;54558274;54559375;54559614;54560204;54560624;54560789;54561217;54561474;54561844;54562122;54562394;54563045;54563204;54563470	54556744;54557298;54557628;54557781;54558414;54559455;54559701;54560541;54560699;54561045;54561380;54561546;54561957;54562214;54562453;54563128;54563346;54563784	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2753	2461
gene:Vradi07g30750	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54577607;54578192;54578691;54578996	54577918;54578320;54578843;54579787	-;-;-;-	1386	13
gene:Vradi07g30760	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54593412;54593991;54594843;54594998;54596467;54596685;54596787	54593896;54594012;54594899;54595079;54596591;54596703;54597337	+;+;+;+;+;+;+	1341	2060
gene:Vradi07g30770	CM003510.1;CM003510.1;CM003510.1	54612834;54614333;54616406	54613868;54615319;54616817	+;+;+	2434	660
gene:Vradi07g30780	CM003510.1	54620248	54620604	-	357	0
gene:Vradi07g30790	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54633316;54633705;54635223;54636043;54636327	54633336;54634694;54635566;54636109;54636899	+;+;+;+;+	1995	1475
gene:Vradi07g30800	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54644324;54644817;54645775;54646883;54647354	54644665;54645477;54645812;54646990;54647791	-;-;-;-;-	1587	2221
gene:ENSRNA050005786	CM003510.1	54665838	54665953	-	116	0
gene:ENSRNA050005788	CM003510.1	54667977	54668092	-	116	0
gene:Vradi07g30810	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54673863;54675427;54675635;54675926;54676103	54673889;54675547;54675809;54675996;54676995	+;+;+;+;+	1287	1389
gene:Vradi07g30820	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54677373;54677851;54678509;54679673;54679934;54680165	54677749;54678034;54678841;54679810;54680063;54680543	-;-;-;-;-;-	1541	73
gene:Vradi07g30830	CM003510.1;CM003510.1	54711251;54712157	54711949;54712354	+;+	897	165
gene:Vradi07g30840	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54715045;54715834;54716052;54716317;54716640;54716995	54715427;54715953;54716216;54716530;54716676;54717279	-;-;-;-;-;-	1204	1160
gene:Vradi07g30850	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54718750;54719083;54719334;54719546;54719841;54720300;54720505;54720923;54721271;54721528;54722851;54723073;54724802;54724988;54725173;54725763;54726327	54719005;54719242;54719343;54719623;54719912;54720418;54720589;54721012;54721336;54721794;54722952;54723162;54724896;54725076;54725235;54725830;54726688	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2072	946
gene:Vradi07g30860	CM003510.1;CM003510.1	54733482;54733652	54733506;54733973	+;+	347	39
gene:Vradi07g30870	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54736111;54737556;54738091;54738324;54738548	54737477;54737616;54738199;54738455;54738989	-;-;-;-;-	2111	2094
gene:Vradi07g30880	CM003510.1;CM003510.1	54761861;54762286	54762204;54762847	+;+	906	107
gene:Vradi07g30890	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54767812;54770854;54771743;54773107;54773225;54775500;54778051;54778239;54780917	54768621;54770980;54771961;54773141;54774013;54775569;54778154;54780824;54781310	-;-;-;-;-;-;-;-;-	5134	1070
gene:Vradi07g30900	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54782907;54784042;54784777;54785759;54786549	54783316;54784254;54785367;54785823;54787117	-;-;-;-;-	1848	853
gene:Vradi07g30910	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54791625;54792758;54793158;54794224;54794916;54795729	54791989;54793075;54793313;54794645;54795426;54796535	+;+;+;+;+;+	2579	581
gene:Vradi07g30920	CM003510.1;CM003510.1	54797160;54798153	54797715;54798696	-;-	1100	231
gene:Vradi07g30930	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54815914;54815914;54816301;54816301;54816783;54816783;54817213;54817213;54817818;54817818;54819551;54819551;54821311;54821311;54821784;54821784;54822173;54822173;54822649;54822649;54822932;54822932;54823285;54823285;54823623;54823623;54823879;54823879;54826540;54826540;54828201;54828201;54828674;54828674;54829063;54829063;54829539;54829539;54829822;54829822;54830175;54830175;54830513;54830513;54830769;54830769;54831080;54831556;54833430;54833446	54816150;54816150;54816559;54816559;54816942;54816942;54817261;54817261;54817931;54817931;54819976;54819976;54821697;54821697;54821879;54821879;54822288;54822288;54822816;54822816;54823091;54823091;54823485;54823485;54823751;54823751;54823957;54823957;54827105;54827105;54828587;54828587;54828769;54828769;54829178;54829178;54829763;54829706;54829981;54829981;54830375;54830375;54830641;54830641;54830851;54830847;54831959;54831634;54834118;54834118	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6113	804
gene:Vradi07g30940	CM003510.1;CM003510.1;CM003510.1	54837621;54838364;54838557	54837970;54838406;54838832	-;-;-	669	5
gene:Vradi07g30950	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54846713;54847733;54848006;54848354;54848539	54847140;54847913;54848147;54848423;54849151	+;+;+;+;+	1434	115
gene:Vradi07g30960	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54875522;54876820;54877096;54878076;54878511;54879021;54879375;54879586;54880026;54880186;54881099;54882297;54882471;54882735	54876044;54876923;54877147;54878357;54878917;54879179;54879491;54879722;54880108;54880596;54881736;54882365;54882650;54883377	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3805	1717
gene:Vradi07g30970	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54884853;54885265;54885690;54886317;54886680;54886937;54887349	54885002;54885604;54885849;54886361;54886839;54887199;54887703	+;+;+;+;+;+;+	1473	5
gene:Vradi07g30980	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54891011;54891392;54892587;54892832;54893625;54893950;54894226;54895472;54895634;54895813;54898458;54898611;54898827;54899436;54899673;54899856	54891291;54891439;54892735;54892880;54893681;54894135;54894360;54895533;54895736;54895927;54898534;54898748;54898991;54899549;54899769;54900130	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2051	897
gene:Vradi07g30990	CM003510.1	54912364	54912840	+	477	137
gene:Vradi07g31000	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54918740;54919234;54919524;54919707;54919836;54921469	54919146;54919344;54919629;54919743;54920091;54922020	-;-;-;-;-;-	1469	228
gene:Vradi07g31010	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54949095;54950773;54951242;54951808	54949550;54951161;54951483;54952703	+;+;+;+	1983	855
gene:Vradi07g31020	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	54954814;54955293;54955917;54956312;54956697;54957009	54955198;54955342;54956217;54956500;54956879;54957409	+;+;+;+;+;+	1509	82
gene:Vradi07g31030	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54958590;54958771;54960242;54960444	54958633;54958829;54960359;54960522	+;+;+;+	300	1499
gene:Vradi07g31040	CM003510.1;CM003510.1	54961511;54962654	54962219;54963188	-;-	1244	507
gene:Vradi07g31050	CM003510.1;CM003510.1	54964002;54964257	54964148;54964487	-;-	378	1939
gene:Vradi07g31060	CM003510.1;CM003510.1;CM003510.1	54967781;54968318;54968683	54968176;54968512;54969021	-;-;-	930	4
gene:Vradi07g31070	CM003510.1;CM003510.1;CM003510.1;CM003510.1	54972132;54973819;54974785;54975041	54972925;54974649;54974875;54975652	+;+;+;+	2328	224
gene:ENSRNA050006335	CM003510.1	54977395	54977476	+	82	3
gene:ENSRNA050006336	CM003510.1	54983144	54983225	+	82	0
gene:Vradi07g31080	CM003510.1;CM003510.1	54983950;54987397	54984744;54987873	+;+	1272	21
gene:Vradi07g31090	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55006071;55006737;55007478;55007760;55007913;55008188;55008500;55008944;55009360;55010155;55010339;55010623;55011352;55011548;55011776;55012052;55012480	55006602;55007060;55007672;55007837;55008101;55008418;55008862;55009141;55009530;55010262;55010551;55010829;55011456;55011661;55011850;55012217;55012604	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3394	6891
gene:Vradi07g31100	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55017355;55017355;55017779;55017779;55018095;55018095;55018458;55018458;55018682;55018703;55019028;55019028;55019272;55019272;55019774;55019774;55019993;55019993;55020195;55020195;55020491;55020491;55021188;55021458;55021458	55017690;55017690;55018012;55018012;55018319;55018319;55018628;55018628;55018839;55018839;55019182;55019182;55019395;55019395;55019874;55019874;55020075;55020075;55020419;55020419;55020592;55020592;55021235;55021711;55021711	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2216	2269
gene:Vradi07g31110	CM003510.1	55024151	55024477	+	327	90
gene:Vradi07g31120	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55029056;55029272;55029538;55029730;55029972;55030300;55031321;55032045;55032275;55032609;55033095;55033594	55029124;55029403;55029646;55029863;55030116;55030478;55031600;55032143;55032423;55032713;55033183;55034110	+;+;+;+;+;+;+;+;+;+;+;+	2007	7
gene:Vradi07g31130	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55038332;55038827;55039272;55040308;55040464;55040667;55040894;55041086;55041608;55042153;55042392;55042545;55042781	55038741;55039091;55039338;55040381;55040566;55040782;55040989;55041469;55042030;55042266;55042440;55042707;55043563	-;-;-;-;-;-;-;-;-;-;-;-;-	3047	1032
gene:Vradi07g31140	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55054808;55055665;55056136;55056400;55058546;55059188;55059665;55059918;55060520;55060708;55060944;55062477	55055502;55055973;55056270;55056544;55058860;55059416;55059831;55060028;55060571;55060817;55061072;55063811	+;+;+;+;+;+;+;+;+;+;+;+	3732	249
gene:Vradi07g31150	CM003510.1;CM003510.1;CM003510.1;CM003510.1	55065383;55067727;55068135;55068517	55067587;55068024;55068400;55068885	+;+;+;+	3138	190
gene:Vradi07g31160	CM003510.1	55071635	55072240	+	606	34
gene:Vradi07g31170	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55084284;55084573;55084780;55085330;55085490;55085637;55086095;55089728	55084290;55084656;55085075;55085413;55085559;55086020;55086442;55089905	-;-;-;-;-;-;-;-	1451	95
gene:Vradi07g31180	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55094174;55095247;55096365;55097106;55097263;55097446;55100508;55101039;55101389;55102046;55102204;55102937;55103643;55103946	55094330;55095397;55096462;55097167;55097354;55097569;55100598;55101146;55101489;55102111;55102291;55102997;55103710;55104130	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1452	208
gene:Vradi07g31190	CM003510.1;CM003510.1;CM003510.1;CM003510.1	55134007;55134487;55134913;55135379	55134309;55134592;55135042;55135511	-;-;-;-	672	3
gene:Vradi07g31200	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55214450;55215459;55215689;55216097;55216922	55214935;55215594;55215813;55216669;55217311	-;-;-;-;-	1710	2588
gene:Vradi07g31210	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55240006;55240231;55241014;55242093;55243362;55243565;55244047;55244818;55245049;55245449	55240134;55240392;55241305;55242194;55243465;55243691;55244199;55244918;55245250;55246125	+;+;+;+;+;+;+;+;+;+	2049	888
gene:Vradi07g31220	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55247504;55247504;55249185;55249185;55249705;55249705;55250105;55250105;55250904;55250904;55251110;55251110;55251432;55251432;55251642;55251642;55252187;55252547;55252547	55248110;55248110;55249270;55249270;55249780;55249780;55250253;55250253;55251017;55251017;55251208;55251208;55251510;55251510;55251748;55251748;55252268;55252982;55252982	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1835	330
gene:Vradi07g31230	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55256805;55257181;55257193;55257869;55257869;55258132;55258132;55258284;55258284;55258835;55258835;55259533;55259533;55260000;55260000;55260415;55260415	55257098;55257519;55257519;55258004;55258004;55258201;55258201;55258377;55258377;55259048;55259048;55259674;55259674;55260170;55260170;55260890;55260890	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1936	1292
gene:Vradi07g31240	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55262145;55263341;55263532;55263769;55264045;55264680;55265326;55265585;55267100;55267480;55268711	55262557;55263429;55263693;55263934;55264484;55265026;55265404;55266003;55267272;55267634;55268829	-;-;-;-;-;-;-;-;-;-;-	2562	270
gene:Vradi07g31250	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55288015;55288754;55289494;55289725;55290118;55291749;55292006	55288133;55288901;55289625;55289874;55291662;55291918;55292315	+;+;+;+;+;+;+	2574	536
gene:Vradi07g31260	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55294955;55296466;55297003;55298017;55298662;55299195	55296049;55296632;55297186;55298218;55298900;55299431	-;-;-;-;-;-	2124	306
gene:Vradi07g31270	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55303772;55305272;55306320;55308073;55308658;55308970;55310969;55311818;55313252	55304524;55305510;55306494;55308126;55308850;55309061;55311056;55311984;55314239	+;+;+;+;+;+;+;+;+	2749	1239
gene:Vradi07g31280	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55316107;55317270;55317412;55317933;55318369;55318793;55319078;55320017;55321095;55321293;55321509;55323477	55317162;55317314;55317488;55318049;55318472;55318862;55319175;55320110;55321185;55321385;55321810;55324403	-;-;-;-;-;-;-;-;-;-;-;-	3074	661
gene:Vradi07g31290	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55332607;55332837;55333400;55333875;55334153;55336338;55336537;55338068	55332721;55332893;55333705;55334002;55334290;55336430;55336654;55338621	+;+;+;+;+;+;+;+	1509	606
gene:Vradi07g31300	CM003510.1;CM003510.1;CM003510.1	55341346;55342285;55343565	55342012;55342503;55344134	+;+;+	1456	172
gene:Vradi07g31310	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55345728;55346833;55347427;55347864;55348073;55348668;55348835;55349060;55350081;55350720	55346406;55346985;55347559;55347935;55348216;55348733;55348905;55349832;55350475;55351350	+;+;+;+;+;+;+;+;+;+	3117	945
gene:ENSRNA050005781	CM003510.1	55371304	55371399	+	96	6
gene:Vradi07g31320	CM003510.1;CM003510.1;CM003510.1	55371514;55372469;55372768	55371722;55372562;55373512	+;+;+	1048	163
gene:ENSRNA050005779	CM003510.1	55371535	55371670	+	136	0
gene:Vradi07g31330	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55376415;55377458;55380002;55380505;55380654;55382414;55384222	55376847;55377595;55380121;55380581;55381032;55383529;55384572	-;-;-;-;-;-;-	2614	860
gene:Vradi07g31340	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55384167;55389565;55390007;55391017;55391241;55391756;55391937;55392195;55392674;55393444;55393689	55384231;55389783;55390127;55391102;55391661;55391856;55392003;55392422;55393129;55393516;55393939	+;+;+;+;+;+;+;+;+;+;+	2088	399
gene:Vradi07g31350	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55396208;55396815;55396987;55397251;55397450;55397958;55398062;55398306;55398874;55399172;55400429;55404069;55404291;55404772	55396737;55396904;55397066;55397363;55397556;55397983;55398167;55398372;55399007;55399182;55400599;55404201;55404459;55405156	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2122	936
gene:Vradi07g31360	CM003510.1;CM003510.1;CM003510.1;CM003510.1	55411142;55411919;55412555;55414189	55411273;55412123;55413975;55414812	+;+;+;+	2382	818
gene:ENSRNA050006337	CM003510.1	55415884	55415955	+	72	1
gene:Vradi07g31370	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55416166;55416467;55416717;55416861;55417009;55417193;55417375;55417826;55418013;55418141;55419027;55419280;55419566;55419865;55420451;55420828	55416273;55416562;55416778;55416925;55417077;55417285;55417475;55417906;55418084;55418177;55419174;55419357;55419695;55420052;55420564;55421070	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1685	558
gene:Vradi07g31380	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55439566;55440446;55441674;55442153;55442397;55442503;55442820;55443974;55444248;55449098;55449418;55449660;55449949	55439658;55440544;55441743;55442247;55442430;55442617;55442897;55444006;55444356;55449275;55449484;55449770;55450474	+;+;+;+;+;+;+;+;+;+;+;+;+	1608	1266
gene:Vradi07g31390	CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1;CM003510.1	55457429;55457861;55458042;55458329;55460733;55460770;55461153;55461153	55457670;55457905;55459228;55459254;55460844;55460844;55461516;55461518	+;+;+;+;+;+;+;+	1978	741
